state,county,area_land,area_water,longitude,latitude
47,109,1457753398,1994997,-88.56478120199654,35.17468548604152
39,003,1042479885,11259523,-84.10802343012278,40.77285241962427
51,199,270917800,285551180,-76.54413045072039,37.24375622151701
13,109,473694909,10295112,-81.88701049761056,32.15328840790976
05,111,1964149128,13520123,-90.66268713416521,35.57433533880803
13,171,475264444,6044328,-84.14263876603097,33.07841646691817
13,123,1103886887,12283371,-84.45496233551457,34.69089538875832
18,139,1057035406,872270,-85.46555990086658,39.620022873869104
21,067,734615998,4922115,-84.45931358084052,38.0378065977881
21,049,653935807,6915925,-84.15033765435703,37.96961360297235
26,049,1649727711,32694965,-83.70589709216854,43.02244215102667
37,015,1810858588,109088136,-76.96545942526313,36.06884730365453
46,121,3596445663,5854544,-100.71955027166058,43.193385684732185
55,087,1651321056,18205953,-88.46565023231247,44.415788866498374
72,137,60201692,48075984,-66.20482254845417,18.435061537716322
18,105,1021806951,43510631,-86.5241435751992,39.16130003721652
08,113,3332606119,5204095,-108.40635268224057,38.002138897643015
19,027,1474835098,2145349,-94.86032705469098,42.03617206941905
28,141,1098938845,52360190,-88.23917218699026,34.74023475345153
13,279,942776960,18088022,-82.32957246838525,32.12059860593291
39,085,593807216,1942301618,-81.23676538514155,41.69710806702863
21,087,740863524,7102449,-85.55407449598935,37.26484327624794
31,035,1482222908,3234877,-98.05126295900816,40.52439441164215
04,011,4770701075,13750464,-109.24052796169627,33.21498835902019
21,019,414054109,5581075,-82.68652187227151,38.36176608161114
20,011,1645861890,9377600,-94.8486599741893,37.85508555382275
36,015,1055036193,8876788,-76.76388049978566,42.13891055920874
40,001,1485822410,8737302,-94.65859267266565,35.88494194590023
48,195,2382296648,1548341,-101.3545796070616,36.277432840311164
51,183,1269679004,6740704,-77.25788472145594,36.92434826035238
46,063,6919333215,16954253,-103.49586285044954,45.58015550537836
37,199,809610027,1524561,-82.31235817358412,35.90079708942464
28,045,1227560680,204096125,-89.48851033507454,30.418302234008923
05,065,1503683622,8913817,-91.90847953486784,36.09604046115134
18,157,1292163442,11230864,-86.89413958820973,40.38872738687578
